日期,小时,用电负荷
2019-08-04,09:00,94.83445200000008
2019-08-04,10:00,102.73294000000006
2019-08-04,11:00,88.57689900000007
2019-08-04,12:00,96.12549599999997
2019-08-04,13:00,104.29594900000008
2019-08-04,14:00,101.73750800000008
2019-08-04,15:00,98.0984400000001
2019-08-04,16:00,102.45400200000007
2019-08-04,17:00,105.49382000000007
2019-08-04,18:00,99.86629500000011
2019-08-04,19:00,95.8718770000001
2019-08-04,20:00,94.38234000000007
2019-08-04,21:00,102.10703800000002
2019-08-04,22:00,95.34397400000006
2019-08-04,23:00,96.230001
2019-08-05,00:00,83.24201500000005
2019-08-05,01:00,83.48710600000004
2019-08-05,02:00,82.97384100000004
2019-08-05,03:00,88.68151599999999
2019-08-05,04:00,78.63043400000006
2019-08-05,05:00,91.81084000000008
2019-08-05,06:00,87.18062900000007
2019-08-05,07:00,110.02882200000006
2019-08-05,08:00,109.44529600000006
2019-08-05,09:00,110.84981300000004
2019-08-05,10:00,109.07721700000015
2019-08-05,11:00,112.42074100000004
2019-08-05,12:00,97.82204500000005
2019-08-05,13:00,109.68846100000005
2019-08-05,14:00,110.56268500000009
2019-08-05,15:00,101.16447500000014
2019-08-05,16:00,116.19134800000003
2019-08-05,17:00,107.43287500000005
2019-08-05,18:00,118.74526100000004
2019-08-05,19:00,107.24890700000012
2019-08-05,20:00,102.7323220000001
2019-08-05,21:00,103.58054900000015
2019-08-05,22:00,105.84661500000013
2019-08-05,23:00,95.46547000000005
2019-08-06,00:00,87.63714100000001
2019-08-06,01:00,88.73398100000009
2019-08-06,02:00,95.20932000000008
2019-08-06,03:00,87.83043300000003
2019-08-06,04:00,89.82091700000002
2019-08-06,05:00,88.61341500000002
2019-08-06,06:00,94.6528220000001
2019-08-06,07:00,105.2487580000001
2019-08-06,08:00,115.58284200000007
2019-08-06,09:00,109.99788600000011
2019-08-06,10:00,108.04602200000012
2019-08-06,11:00,104.2323780000001
2019-08-06,12:00,109.0158750000001
2019-08-06,13:00,99.52462400000014
2019-08-06,14:00,106.16946700000013
2019-08-06,15:00,102.4111230000001
2019-08-06,16:00,115.20366300000009
2019-08-06,17:00,109.77478800000007
2019-08-06,18:00,111.07763200000015
2019-08-06,19:00,105.10857500000009
2019-08-06,20:00,110.0939640000001
2019-08-06,21:00,101.3969880000001
2019-08-06,22:00,97.67868100000014
2019-08-06,23:00,100.16333100000013
2019-08-07,00:00,88.92164900000006
2019-08-07,01:00,86.11926400000003
2019-08-07,02:00,89.35429800000006
2019-08-07,03:00,93.09669700000003
2019-08-07,04:00,92.56979600000003
2019-08-07,05:00,79.54386100000009
2019-08-07,06:00,103.57216000000003
2019-08-07,07:00,104.40164400000012
2019-08-07,08:00,109.28589600000011
2019-08-07,09:00,112.28103800000008
2019-08-07,10:00,113.50236400000014
2019-08-07,11:00,100.45599600000011
2019-08-07,12:00,108.80396600000012
2019-08-07,13:00,107.04710400000008
2019-08-07,14:00,108.06733700000008
2019-08-07,15:00,117.24128600000016
2019-08-07,16:00,104.01537200000018
2019-08-07,17:00,111.81167700000009
2019-08-07,18:00,112.74095300000013
2019-08-07,19:00,106.56480700000009
2019-08-07,20:00,103.58632500000012
2019-08-07,21:00,105.99949300000004
2019-08-07,22:00,102.57692300000006
2019-08-07,23:00,93.86426600000011
2019-08-08,00:00,93.87298100000004
2019-08-08,01:00,87.19850400000004
2019-08-08,02:00,88.52512000000004
2019-08-08,03:00,92.41027400000009
2019-08-08,04:00,86.268391
2019-08-08,05:00,93.20351800000012
2019-08-08,06:00,85.11015300000005
2019-08-08,07:00,108.54952200000005
2019-08-08,08:00,109.6811550000001
2019-08-08,09:00,108.97945900000008
2019-08-08,10:00,108.96288900000009
2019-08-08,11:00,103.75229700000014
2019-08-08,12:00,110.9128860000001
2019-08-08,13:00,99.47447600000012
2019-08-08,14:00,117.867961
2019-08-08,15:00,106.98501400000018
2019-08-08,16:00,113.8988210000001
2019-08-08,17:00,109.90397500000009
2019-08-08,18:00,117.98379300000015
2019-08-08,19:00,99.16307200000014
2019-08-08,20:00,110.8212270000001
2019-08-08,21:00,107.69924600000006
2019-08-08,22:00,96.75097800000003
2019-08-08,23:00,99.07931700000006
2019-08-09,00:00,98.67627900000011
2019-08-09,01:00,88.52641000000006
2019-08-09,02:00,89.88983300000001
2019-08-09,03:00,86.21517999999993
2019-08-09,04:00,94.52311399999998
2019-08-09,05:00,86.25479200000002
2019-08-09,06:00,95.400453
2019-08-09,07:00,114.14784200000007
2019-08-09,08:00,110.27210600000012
2019-08-09,09:00,112.05485600000004
2019-08-09,10:00,116.82360400000012
2019-08-09,11:00,98.87305800000014
2019-08-09,12:00,111.90258200000004
2019-08-09,13:00,109.02407800000012
2019-08-09,14:00,111.09139000000003
2019-08-09,15:00,111.52269600000014
2019-08-09,16:00,110.11000000000008
2019-08-09,17:00,121.8231030000002
2019-08-09,18:00,111.36734500000014
2019-08-09,19:00,116.91482800000006
2019-08-09,20:00,86.04731000000007
2019-08-09,21:00,87.9181300000001
2019-08-09,22:00,85.02803700000008
2019-08-09,23:00,103.78369700000007
2019-08-10,00:00,85.30862600000006
2019-08-10,01:00,95.61145700000004
2019-08-10,02:00,90.24951400000005
2019-08-10,03:00,94.73791900000006
2019-08-10,04:00,92.54269799999994
2019-08-10,05:00,82.66989500000008
2019-08-10,06:00,101.14292200000004
2019-08-10,07:00,105.3427590000001
2019-08-10,08:00,97.81115100000007
2019-08-10,09:00,114.37608200000003
2019-08-10,10:00,105.90842000000006
2019-08-10,11:00,103.1005190000001
2019-08-10,12:00,109.99286200000009
2019-08-10,13:00,108.02538100000015
2019-08-10,14:00,107.65442300000011
2019-08-10,15:00,110.39883900000014
2019-08-10,16:00,116.60758100000007
2019-08-10,17:00,111.36254900000006
2019-08-10,18:00,109.22217399999997
2019-08-10,19:00,111.3694800000001
2019-08-10,20:00,109.63604500000007
2019-08-10,21:00,94.72522600000002
2019-08-10,22:00,107.70489900000007
2019-08-10,23:00,102.97485300000014
2019-08-11,00:00,89.04569900000007
2019-08-11,01:00,89.45580300000012
2019-08-11,02:00,94.86352500000002
2019-08-11,03:00,86.91233899999996
