day,day_of_week,weekend,half_month,holiday,hour,负荷
1,6,True,1,2,19,95.90774800000003
1,6,True,1,2,20,97.56613300000004
1,6,True,1,2,21,94.27693300000014
1,6,True,1,2,22,104.42902300000014
1,6,True,1,2,23,93.662232
2,0,False,1,2,0,2501.5612269999847
2,0,False,1,2,1,82.81707099999998
2,0,False,1,2,2,83.06948600000007
2,0,False,1,2,3,84.42360400000003
2,0,False,1,2,4,80.15811099999999
2,0,False,1,2,5,89.850177
2,0,False,1,2,6,87.0420650000001
2,0,False,1,2,7,109.48789700000003
2,0,False,1,2,8,109.69265500000012
2,0,False,1,2,9,115.71296800000009
2,0,False,1,2,10,103.98670900000003
2,0,False,1,2,11,111.07038400000012
2,0,False,1,2,12,104.66578100000012
2,0,False,1,2,13,105.2845750000001
2,0,False,1,2,14,107.92422300000004
2,0,False,1,2,15,107.49110000000002
2,0,False,1,2,16,119.97952200000006
2,0,False,1,2,17,109.13828800000009
2,0,False,1,2,18,115.62528300000007
2,0,False,1,2,19,99.4875540000001
2,0,False,1,2,20,102.40731300000013
2,0,False,1,2,21,107.31985900000006
2,0,False,1,2,22,101.58794400000008
2,0,False,1,2,23,103.49894800000007
2,2,False,1,1,0,1909.5034949999706
2,2,False,1,1,1,69.75914400000002
2,2,False,1,1,2,64.75895200000005
2,2,False,1,1,3,56.144142999999985
2,2,False,1,1,4,69.91460300000003
2,2,False,1,1,5,62.765004000000026
2,2,False,1,1,6,81.55022199999999
2,2,False,1,1,7,70.96296300000003
2,2,False,1,1,8,81.89692100000005
2,2,False,1,1,9,80.84879300000001
2,2,False,1,1,10,88.73640900000008
2,2,False,1,1,11,75.261404
2,2,False,1,1,12,77.90528500000002
2,2,False,1,1,13,82.35016700000006
2,2,False,1,1,14,79.29944200000007
2,2,False,1,1,15,87.21125799999997
2,2,False,1,1,16,84.94371900000007
2,2,False,1,1,17,74.56010900000004
2,2,False,1,1,18,90.336836
2,2,False,1,1,19,77.00776599999999
2,2,False,1,1,20,85.55884699999996
2,2,False,1,1,21,79.99050299999999
2,2,False,1,1,22,78.78350499999998
2,2,False,1,1,23,70.00135400000002
2,4,False,1,2,0,2306.7210999999884
2,4,False,1,2,1,80.52687800000004
2,4,False,1,2,2,83.82173000000006
2,4,False,1,2,3,78.40081200000007
2,4,False,1,2,4,85.92891900000005
2,4,False,1,2,5,72.50103900000005
2,4,False,1,2,6,95.70991000000002
2,4,False,1,2,7,94.32626000000006
2,4,False,1,2,8,103.69910700000001
2,4,False,1,2,9,93.18077600000005
2,4,False,1,2,10,101.18101300000009
2,4,False,1,2,11,96.74090800000003
2,4,False,1,2,12,92.92438900000013
2,4,False,1,2,13,95.54528700000007
2,4,False,1,2,14,104.45993500000007
